time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-09 00:00:00+00:00,10,8,57,16
2024-09-10 00:00:00+00:00,15,9,32,12
2024-09-11 00:00:00+00:00,13,7,78,15
2024-09-12 00:00:00+00:00,3,2,14,9
2024-09-13 00:00:00+00:00,7,6,22,8
2024-09-14 00:00:00+00:00,5,4,4,1
2024-10-13 00:00:00+00:00,0,0,3,3
2024-10-14 00:00:00+00:00,67,9,56,19
2024-10-15 00:00:00+00:00,287,7,40,21
2024-10-16 00:00:00+00:00,84,6,118,38
2024-10-17 00:00:00+00:00,12,11,50,16
2024-10-18 00:00:00+00:00,128,18,19,10
2024-10-19 00:00:00+00:00,10,7,15,8
2024-10-20 00:00:00+00:00,2,2,3,2
2024-10-21 00:00:00+00:00,99,12,36,10
2024-10-22 00:00:00+00:00,6,6,27,17
2024-10-23 00:00:00+00:00,6,5,25,9
2024-10-24 00:00:00+00:00,14,7,38,18
2024-10-25 00:00:00+00:00,120,5,32,11
2024-10-26 00:00:00+00:00,58,6,20,8
2024-10-27 00:00:00+00:00,5,5,1,1
2024-10-28 00:00:00+00:00,109,14,21,11
2024-10-29 00:00:00+00:00,31,28,185,14
2024-10-30 00:00:00+00:00,114,22,79,24
2024-10-31 00:00:00+00:00,26,21,66,12
2024-11-01 00:00:00+00:00,80,17,92,9
2024-11-02 00:00:00+00:00,63,25,31,11
2024-11-03 00:00:00+00:00,124,35,68,11
2024-11-04 00:00:00+00:00,36,7,26,11
2024-11-05 00:00:00+00:00,74,12,29,10
2024-11-06 00:00:00+00:00,210,21,26,10
2024-11-07 00:00:00+00:00,15,9,11,7
2024-11-08 00:00:00+00:00,7,7,112,15
2024-11-09 00:00:00+00:00,2,2,5,3
2024-11-10 00:00:00+00:00,17,8,1,1
2024-11-11 00:00:00+00:00,14,8,105,14
2024-11-12 00:00:00+00:00,9,5,54,13
2024-11-13 00:00:00+00:00,9,8,41,14
2024-11-14 00:00:00+00:00,99,8,36,7
2024-11-15 00:00:00+00:00,13,7,45,14
2024-11-16 00:00:00+00:00,5,4,13,6
2024-11-17 00:00:00+00:00,3,1,2,2
2024-11-18 00:00:00+00:00,20,14,49,9
2024-11-19 00:00:00+00:00,26,18,57,10
2024-11-20 00:00:00+00:00,29,20,35,10
2024-11-21 00:00:00+00:00,31,20,28,10
2024-11-22 00:00:00+00:00,19,16,27,13
2024-11-23 00:00:00+00:00,10,8,24,7
2024-11-24 00:00:00+00:00,18,13,6,5
2024-11-25 00:00:00+00:00,19,17,55,12
2024-11-26 00:00:00+00:00,27,19,84,13
2024-11-27 00:00:00+00:00,22,17,30,13
2024-11-28 00:00:00+00:00,19,14,40,15
2024-11-29 00:00:00+00:00,43,32,33,7
2024-11-30 00:00:00+00:00,3,3,2,2
2024-12-01 00:00:00+00:00,74,13,7,4
2024-12-02 00:00:00+00:00,172,25,21,8
2024-12-03 00:00:00+00:00,71,30,18,12
2024-12-04 00:00:00+00:00,10,7,31,11
2024-12-05 00:00:00+00:00,6,5,54,16
2024-12-06 00:00:00+00:00,18,13,19,8
2024-12-07 00:00:00+00:00,9,5,10,4
2024-12-08 00:00:00+00:00,18,15,2,2
2024-12-09 00:00:00+00:00,14,11,17,9
2024-12-10 00:00:00+00:00,8,7,53,10
2024-12-11 00:00:00+00:00,13,9,89,16
2024-12-12 00:00:00+00:00,11,11,27,10
2024-12-13 00:00:00+00:00,23,18,17,7
2024-12-14 00:00:00+00:00,7,5,1,1
2024-12-15 00:00:00+00:00,9,4,4,2
2024-12-16 00:00:00+00:00,5,5,12,8
2024-12-17 00:00:00+00:00,10,8,106,22
2024-12-18 00:00:00+00:00,7,5,15,9
2024-12-19 00:00:00+00:00,23,18,22,10
2024-12-20 00:00:00+00:00,8,6,1,1
2024-12-21 00:00:00+00:00,6,6,6,5
2024-12-22 00:00:00+00:00,11,5,0,0
