time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-27 00:00:00+00:00,18,8,11,6
2025-04-28 00:00:00+00:00,62,25,37,13
2025-04-29 00:00:00+00:00,55,31,27,17
2025-04-30 00:00:00+00:00,40,14,59,12
2025-05-01 00:00:00+00:00,22,11,5,2
2025-05-02 00:00:00+00:00,10,6,20,6
2025-05-03 00:00:00+00:00,7,6,4,3
2025-05-04 00:00:00+00:00,10,8,2,2
2025-05-05 00:00:00+00:00,22,10,58,15
2025-05-06 00:00:00+00:00,6,6,45,15
2025-05-07 00:00:00+00:00,31,12,43,17
2025-05-08 00:00:00+00:00,2,2,23,10
2025-05-09 00:00:00+00:00,3,3,41,13
2025-05-10 00:00:00+00:00,2,2,49,17
2025-05-11 00:00:00+00:00,5,4,11,4
