time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,1.0,1.0,4,3
2025-03-24 00:00:00+00:00,26.0,8.0,71,19
2025-03-25 00:00:00+00:00,5.0,4.0,67,17
2025-03-26 00:00:00+00:00,9.0,5.0,66,15
2025-03-27 00:00:00+00:00,17.0,7.0,58,19
2025-03-28 00:00:00+00:00,29.0,10.0,109,19
2025-03-29 00:00:00+00:00,262.0,20.0,37,22
2025-03-30 00:00:00+00:00,8.0,6.0,68,12
2025-03-31 00:00:00+00:00,16.0,12.0,107,18
2025-04-01 00:00:00+00:00,4.0,4.0,32,16
2025-04-02 00:00:00+00:00,5.0,4.0,86,20
2025-04-03 00:00:00+00:00,14.0,9.0,68,17
2025-04-04 00:00:00+00:00,31.0,6.0,55,13
2025-04-05 00:00:00+00:00,5.0,5.0,3,3
2025-04-06 00:00:00+00:00,,,6,1
