time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-23 00:00:00+00:00,8.0,7.0,110,12
2024-08-24 00:00:00+00:00,2.0,2.0,71,12
2024-08-25 00:00:00+00:00,,,3,3
2024-08-26 00:00:00+00:00,160.0,8.0,45,20
2024-08-27 00:00:00+00:00,8.0,7.0,137,14
2024-08-28 00:00:00+00:00,24.0,5.0,77,18
2024-08-29 00:00:00+00:00,7.0,7.0,60,11
2024-08-30 00:00:00+00:00,4.0,4.0,27,9
2024-08-31 00:00:00+00:00,5.0,5.0,22,6
2024-09-01 00:00:00+00:00,2.0,2.0,23,8
2024-09-02 00:00:00+00:00,29.0,10.0,22,13
2024-09-03 00:00:00+00:00,9.0,8.0,13,9
2024-09-04 00:00:00+00:00,11.0,5.0,11,4
2024-09-05 00:00:00+00:00,2.0,2.0,121,11
2024-09-06 00:00:00+00:00,3.0,3.0,25,5
