time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-19 00:00:00+00:00,10,10,113,10
2024-06-20 00:00:00+00:00,3,2,143,19
2024-06-21 00:00:00+00:00,2,2,69,15
2024-06-22 00:00:00+00:00,2,2,26,11
2024-06-23 00:00:00+00:00,2,2,58,9
2024-06-24 00:00:00+00:00,12,1,26,11
2024-06-25 00:00:00+00:00,3,3,156,16
2024-06-26 00:00:00+00:00,3,3,58,17
2024-06-27 00:00:00+00:00,5,4,28,15
2024-06-28 00:00:00+00:00,1,1,35,15
2024-06-29 00:00:00+00:00,2,2,19,6
2024-06-30 00:00:00+00:00,2,2,129,10
2024-07-01 00:00:00+00:00,14,3,86,13
2024-07-02 00:00:00+00:00,1,1,98,10
2024-07-03 00:00:00+00:00,1,1,8,7
