referrer,views_total,views_unique
Google,360,67
github.com,75,26
Bing,28,4
ggory15.github.io,7,1
yandex.ru,7,1
memory-of-motion.github.io,4,3
statics.teams.cdn.office.net,2,2
robotpkg.openrobots.org,2,1
di.ens.fr,1,1
gitee.com,1,1
