referrer,views_total,views_unique
Google,214,55
github.com,145,28
yandex.ru,11,2
Bing,6,3
cn.bing.com,4,3
andreadelprete.github.io,3,3
pypi.org,3,1
scaron.info,2,2
memory-of-motion.github.io,2,2
link.zhihu.com,2,2
