time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-24 00:00:00+00:00,4.0,4.0,11,8
2025-05-25 00:00:00+00:00,3.0,3.0,12,4
2025-05-26 00:00:00+00:00,26.0,12.0,200,24
2025-05-27 00:00:00+00:00,3.0,2.0,138,13
2025-05-28 00:00:00+00:00,3.0,3.0,45,12
2025-05-29 00:00:00+00:00,12.0,9.0,55,14
2025-05-30 00:00:00+00:00,14.0,5.0,57,12
2025-05-31 00:00:00+00:00,22.0,5.0,24,8
2025-06-01 00:00:00+00:00,4.0,4.0,20,8
2025-06-02 00:00:00+00:00,33.0,7.0,47,17
2025-06-03 00:00:00+00:00,11.0,6.0,98,21
2025-06-04 00:00:00+00:00,7.0,4.0,80,17
2025-06-05 00:00:00+00:00,6.0,6.0,83,15
2025-06-06 00:00:00+00:00,3.0,3.0,141,16
2025-06-07 00:00:00+00:00,,,10,2
