referrer,views_total,views_unique
Google,504,67
github.com,111,31
andreadelprete.github.io,13,7
Bing,12,4
pypi.org,11,1
memory-of-motion.github.io,4,4
yandex.ru,2,1
link.zhihu.com,2,1
romilab.org,1,1
statics.teams.cdn.office.net,1,1
