time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-22 00:00:00+00:00,2.0,2.0,8,3
2025-02-23 00:00:00+00:00,1.0,1.0,10,7
2025-02-24 00:00:00+00:00,37.0,7.0,76,22
2025-02-25 00:00:00+00:00,4.0,4.0,41,17
2025-02-26 00:00:00+00:00,5.0,3.0,78,23
2025-02-27 00:00:00+00:00,15.0,4.0,50,18
2025-02-28 00:00:00+00:00,5.0,4.0,165,16
2025-03-01 00:00:00+00:00,4.0,4.0,56,6
2025-03-02 00:00:00+00:00,4.0,4.0,50,9
2025-03-03 00:00:00+00:00,41.0,8.0,192,23
2025-03-04 00:00:00+00:00,5.0,4.0,100,17
2025-03-05 00:00:00+00:00,14.0,6.0,55,14
2025-03-06 00:00:00+00:00,28.0,12.0,50,21
2025-03-07 00:00:00+00:00,17.0,7.0,78,19
2025-03-08 00:00:00+00:00,,,1,1
