time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-06 00:00:00+00:00,2,2,9.0,5.0
2025-04-07 00:00:00+00:00,132,15,61.0,14.0
2025-04-08 00:00:00+00:00,73,4,30.0,12.0
2025-04-09 00:00:00+00:00,26,7,19.0,9.0
2025-04-10 00:00:00+00:00,6,6,64.0,8.0
2025-04-11 00:00:00+00:00,8,8,56.0,19.0
2025-04-12 00:00:00+00:00,7,5,37.0,11.0
2025-04-13 00:00:00+00:00,4,3,7.0,2.0
2025-04-14 00:00:00+00:00,21,11,94.0,17.0
2025-04-15 00:00:00+00:00,15,9,47.0,18.0
2025-04-16 00:00:00+00:00,14,9,83.0,17.0
2025-04-17 00:00:00+00:00,108,25,47.0,13.0
2025-04-18 00:00:00+00:00,51,19,38.0,9.0
2025-04-19 00:00:00+00:00,4,4,12.0,5.0
2025-04-20 00:00:00+00:00,5,3,,
