referrer,views_total,views_unique
Google,172,43
github.com,37,17
cn.bing.com,24,6
pypi.org,16,3
Baidu,14,3
Bing,13,7
eigen.tuxfamily.org,12,6
robotpkg.openrobots.org,9,3
DuckDuckGo,7,5
di.ens.fr,6,2
