time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-10 00:00:00+00:00,47,32,42,9
2025-04-11 00:00:00+00:00,86,58,15,11
2025-04-12 00:00:00+00:00,57,30,14,7
2025-04-13 00:00:00+00:00,42,25,3,2
2025-04-14 00:00:00+00:00,50,28,55,16
2025-04-15 00:00:00+00:00,72,40,31,14
2025-04-16 00:00:00+00:00,56,34,26,10
2025-04-17 00:00:00+00:00,64,43,8,5
2025-04-18 00:00:00+00:00,59,39,15,7
2025-04-19 00:00:00+00:00,54,35,22,3
2025-04-20 00:00:00+00:00,41,25,7,2
2025-04-21 00:00:00+00:00,42,27,33,9
2025-04-22 00:00:00+00:00,62,34,31,8
2025-04-23 00:00:00+00:00,75,34,54,13
2025-04-24 00:00:00+00:00,11,6,16,8
