time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-25 00:00:00+00:00,9,7,4,4
2024-12-26 00:00:00+00:00,7,5,26,11
2024-12-27 00:00:00+00:00,3,3,16,5
2024-12-28 00:00:00+00:00,5,4,11,5
2024-12-29 00:00:00+00:00,7,4,14,3
2024-12-30 00:00:00+00:00,15,14,21,13
2024-12-31 00:00:00+00:00,3,3,10,6
2025-01-01 00:00:00+00:00,63,4,2,2
2025-01-02 00:00:00+00:00,103,11,17,10
2025-01-03 00:00:00+00:00,169,17,30,9
2025-01-04 00:00:00+00:00,6,6,5,5
2025-01-05 00:00:00+00:00,22,13,12,4
2025-01-06 00:00:00+00:00,13,8,11,8
2025-01-07 00:00:00+00:00,117,22,31,13
2025-01-08 00:00:00+00:00,4,3,3,2
