time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,24,20,9.0,3.0
2025-06-16 00:00:00+00:00,145,44,31.0,8.0
2025-06-17 00:00:00+00:00,161,48,77.0,13.0
2025-06-18 00:00:00+00:00,75,46,44.0,16.0
2025-06-19 00:00:00+00:00,57,38,8.0,3.0
2025-06-20 00:00:00+00:00,86,36,32.0,8.0
2025-06-21 00:00:00+00:00,24,24,7.0,2.0
2025-06-22 00:00:00+00:00,42,31,3.0,3.0
2025-06-23 00:00:00+00:00,1038,102,49.0,9.0
2025-06-24 00:00:00+00:00,918,90,48.0,13.0
2025-06-25 00:00:00+00:00,34,29,16.0,10.0
2025-06-26 00:00:00+00:00,46,36,33.0,8.0
2025-06-27 00:00:00+00:00,95,52,19.0,12.0
2025-06-28 00:00:00+00:00,28,25,8.0,4.0
2025-06-29 00:00:00+00:00,4,3,,
