referrer,views_total,views_unique
Google,4488,986
github.com,860,204
Bing,303,83
cn.bing.com,201,81
search.brave.com,79,10
DuckDuckGo,77,23
index.ros.org,64,23
pypi.org,44,18
Baidu,43,22
yandex.ru,32,11
