time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-10 00:00:00+00:00,37,30,264,75
2025-05-11 00:00:00+00:00,73,46,359,132
2025-05-12 00:00:00+00:00,214,143,751,301
2025-05-13 00:00:00+00:00,239,102,882,287
2025-05-14 00:00:00+00:00,448,122,1047,290
2025-05-15 00:00:00+00:00,362,212,656,242
2025-05-16 00:00:00+00:00,236,128,706,239
2025-05-17 00:00:00+00:00,41,39,360,104
2025-05-18 00:00:00+00:00,59,40,291,121
2025-05-19 00:00:00+00:00,255,90,806,259
2025-05-20 00:00:00+00:00,180,124,700,256
2025-05-21 00:00:00+00:00,521,175,970,280
2025-05-22 00:00:00+00:00,310,115,969,258
2025-05-23 00:00:00+00:00,241,178,675,224
2025-05-24 00:00:00+00:00,13,11,103,49
