referrer,views_total,views_unique
Google,3504,943
github.com,706,172
Bing,390,96
cn.bing.com,177,64
DuckDuckGo,90,21
chatgpt.com,69,13
pypi.org,58,12
Baidu,53,25
link.zhihu.com,46,27
gitcode.com,32,7
