referrer,views_total,views_unique
Google,5318,972
github.com,1386,208
Bing,459,79
cn.bing.com,187,51
chatgpt.com,110,11
yandex.ru,85,5
pypi.org,58,11
com.google.android.gm,48,9
index.ros.org,46,9
link.zhihu.com,35,15
