referrer,views_total,views_unique
Google,5029,799
github.com,1291,193
Bing,428,91
yandex.ru,128,9
cn.bing.com,111,34
link.zhihu.com,91,23
search.brave.com,65,6
DuckDuckGo,53,21
linkedin.com,51,24
index.ros.org,45,10
