referrer,views_total,views_unique
Google,4309,948
github.com,791,201
Bing,335,84
cn.bing.com,200,75
search.brave.com,81,11
DuckDuckGo,75,23
index.ros.org,67,22
Baidu,43,21
pypi.org,43,17
yandex.ru,32,11
