referrer,views_total,views_unique
Google,3632,981
github.com,691,181
Bing,399,97
cn.bing.com,212,70
DuckDuckGo,89,21
chatgpt.com,65,15
Baidu,58,28
pypi.org,53,10
link.zhihu.com,49,26
gitcode.com,41,9
