referrer,views_total,views_unique
Google,5906,795
github.com,1258,213
Bing,323,47
cn.bing.com,124,50
t.co,105,48
DuckDuckGo,55,18
yandex.ru,54,4
pypi.org,33,8
oceanhero.today,25,1
com.google.android.gm,23,12
