referrer,views_total,views_unique
Google,5895,787
github.com,1436,234
Bing,360,56
t.co,245,117
cn.bing.com,137,56
yandex.ru,63,5
DuckDuckGo,50,15
pypi.org,36,10
statics.teams.cdn.office.net,27,8
oceanhero.today,25,1
