time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-07 00:00:00+00:00,158,134,494,167
2025-05-08 00:00:00+00:00,592,356,871,251
2025-05-09 00:00:00+00:00,283,191,754,220
2025-05-10 00:00:00+00:00,58,45,381,111
2025-05-11 00:00:00+00:00,73,46,359,132
2025-05-12 00:00:00+00:00,214,143,751,301
2025-05-13 00:00:00+00:00,239,102,882,287
2025-05-14 00:00:00+00:00,448,122,1047,290
2025-05-15 00:00:00+00:00,362,212,656,242
2025-05-16 00:00:00+00:00,236,128,706,239
2025-05-17 00:00:00+00:00,41,39,360,104
2025-05-18 00:00:00+00:00,59,40,291,121
2025-05-19 00:00:00+00:00,255,90,806,259
2025-05-20 00:00:00+00:00,180,124,700,256
2025-05-21 00:00:00+00:00,39,23,236,94
