referrer,views_total,views_unique
Google,4859,719
github.com,1037,155
Bing,366,55
cn.bing.com,128,42
index.ros.org,97,13
link.zhihu.com,63,27
Baidu,62,19
leggedrobotics.github.io,58,15
scaron.info,38,1
pypi.org,37,11
