referrer,views_total,views_unique
Google,3571,1035
github.com,807,179
Bing,206,57
cn.bing.com,178,68
chatgpt.com,74,31
link.zhihu.com,56,33
index.ros.org,51,18
pypi.org,50,17
DuckDuckGo,46,18
search.brave.com,35,9
