referrer,views_total,views_unique
Google,4738,779
github.com,1052,196
Bing,527,90
yandex.ru,132,8
cn.bing.com,115,36
search.brave.com,64,5
DuckDuckGo,58,21
index.ros.org,45,10
link.csdn.net,44,11
linkedin.com,43,18
