time_iso8601,forks_cumulative
2021-09-14 00:00:00+00:00,155
2021-09-18 00:00:00+00:00,156
2021-09-24 00:00:00+00:00,157
2021-09-30 00:00:00+00:00,159
2021-10-21 00:00:00+00:00,160
2021-10-28 00:00:00+00:00,161
2021-11-08 00:00:00+00:00,162
2021-11-10 00:00:00+00:00,163
2021-11-15 00:00:00+00:00,164
2021-11-16 00:00:00+00:00,165
2021-11-21 00:00:00+00:00,166
2021-11-22 00:00:00+00:00,167
2021-12-08 00:00:00+00:00,168
2021-12-15 00:00:00+00:00,169
2021-12-17 00:00:00+00:00,170
2021-12-21 00:00:00+00:00,171
2021-12-23 00:00:00+00:00,172
2022-01-02 00:00:00+00:00,173
2022-01-03 00:00:00+00:00,174
2022-01-04 00:00:00+00:00,175
2022-01-05 00:00:00+00:00,176
2022-01-11 00:00:00+00:00,177
2022-01-28 00:00:00+00:00,178
2022-01-31 00:00:00+00:00,179
2022-02-02 00:00:00+00:00,180
2022-02-13 00:00:00+00:00,181
2022-02-18 00:00:00+00:00,182
2022-02-21 00:00:00+00:00,183
2022-02-24 00:00:00+00:00,184
2022-02-25 00:00:00+00:00,186
2022-03-04 00:00:00+00:00,187
2022-03-06 00:00:00+00:00,188
2022-03-09 00:00:00+00:00,189
2022-03-13 00:00:00+00:00,191
2022-03-14 00:00:00+00:00,192
2022-04-07 00:00:00+00:00,193
2022-04-11 00:00:00+00:00,194
2022-04-13 00:00:00+00:00,195
2022-04-26 00:00:00+00:00,196
2022-04-29 00:00:00+00:00,197
2022-05-03 00:00:00+00:00,198
2022-05-11 00:00:00+00:00,199
2022-05-12 00:00:00+00:00,200
2022-05-14 00:00:00+00:00,201
2022-05-23 00:00:00+00:00,202
2022-05-28 00:00:00+00:00,203
2022-06-01 00:00:00+00:00,204
2022-06-06 00:00:00+00:00,205
2022-06-07 00:00:00+00:00,206
2022-06-11 00:00:00+00:00,207
2022-06-13 00:00:00+00:00,208
2022-06-29 00:00:00+00:00,209
2022-06-30 00:00:00+00:00,210
2022-07-09 00:00:00+00:00,211
2022-07-23 00:00:00+00:00,212
2022-07-25 00:00:00+00:00,213
2022-07-28 00:00:00+00:00,214
2022-08-10 00:00:00+00:00,215
2022-08-11 00:00:00+00:00,216
2022-08-21 00:00:00+00:00,217
2022-08-24 00:00:00+00:00,218
2022-08-26 00:00:00+00:00,219
2022-09-02 00:00:00+00:00,220
2022-09-08 00:00:00+00:00,221
2022-09-10 00:00:00+00:00,223
2022-09-15 00:00:00+00:00,226
2022-09-27 00:00:00+00:00,227
2022-10-08 00:00:00+00:00,228
2022-10-11 00:00:00+00:00,229
2022-10-12 00:00:00+00:00,230
2022-10-15 00:00:00+00:00,231
2022-10-24 00:00:00+00:00,232
2022-10-27 00:00:00+00:00,233
2022-11-02 00:00:00+00:00,234
2022-11-08 00:00:00+00:00,235
2022-11-12 00:00:00+00:00,236
2022-12-04 00:00:00+00:00,237
2022-12-07 00:00:00+00:00,238
2022-12-08 00:00:00+00:00,239
2022-12-12 00:00:00+00:00,240
2022-12-15 00:00:00+00:00,242
2022-12-21 00:00:00+00:00,243
2022-12-22 00:00:00+00:00,244
2022-12-29 00:00:00+00:00,245
2023-01-09 00:00:00+00:00,247
2023-01-22 00:00:00+00:00,248
2023-02-13 00:00:00+00:00,249
2023-02-19 00:00:00+00:00,250
2023-02-21 00:00:00+00:00,251
2023-02-24 00:00:00+00:00,252
2023-03-06 00:00:00+00:00,254
2023-03-13 00:00:00+00:00,255
2023-03-14 00:00:00+00:00,256
2023-03-30 00:00:00+00:00,257
2023-04-07 00:00:00+00:00,259
2023-04-17 00:00:00+00:00,261
2023-04-30 00:00:00+00:00,262
2023-05-08 00:00:00+00:00,263
2023-05-12 00:00:00+00:00,264
2023-05-13 00:00:00+00:00,265
2023-05-25 00:00:00+00:00,266
2023-06-03 00:00:00+00:00,267
2023-06-07 00:00:00+00:00,268
2023-06-11 00:00:00+00:00,269
2023-06-12 00:00:00+00:00,270
2023-07-16 00:00:00+00:00,271
2023-07-17 00:00:00+00:00,272
2023-07-22 00:00:00+00:00,273
2023-07-23 00:00:00+00:00,274
2023-07-25 00:00:00+00:00,275
2023-07-31 00:00:00+00:00,276
2023-08-02 00:00:00+00:00,277
2023-08-08 00:00:00+00:00,278
2023-08-15 00:00:00+00:00,279
2023-09-10 00:00:00+00:00,280
2023-09-15 00:00:00+00:00,281
2023-09-16 00:00:00+00:00,282
2023-09-17 00:00:00+00:00,284
2023-09-19 00:00:00+00:00,285
2023-09-29 00:00:00+00:00,286
2023-10-18 00:00:00+00:00,287
2023-10-19 00:00:00+00:00,289
2023-10-31 00:00:00+00:00,290
2023-11-01 00:00:00+00:00,291
2023-11-06 00:00:00+00:00,292
2023-11-08 00:00:00+00:00,293
2023-11-11 00:00:00+00:00,294
2023-11-12 00:00:00+00:00,295
2023-11-25 00:00:00+00:00,296
2023-11-28 00:00:00+00:00,297
2023-12-01 00:00:00+00:00,298
2023-12-03 00:00:00+00:00,299
2023-12-12 00:00:00+00:00,300
2023-12-14 00:00:00+00:00,301
2023-12-15 00:00:00+00:00,302
2023-12-20 00:00:00+00:00,303
2023-12-24 00:00:00+00:00,304
2023-12-27 00:00:00+00:00,305
2023-12-30 00:00:00+00:00,306
2024-01-16 00:00:00+00:00,307
2024-01-28 00:00:00+00:00,308
2024-02-07 00:00:00+00:00,310
